型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
技嘉X5 v7（16GB/256GB+1TB）,X5 v7系列,http://detail.zol.com.cn/notebook/index1180511.shtml,https://2d.zol-img.com.cn/product/185_80x60/281/ceh4hjYmw4PxM.jpg,1.9万,正常,10110,Intel 酷睿i7 7820HK,英特尔 酷睿i7 7代系列,2.9GHz,3.9GHz,四核心/八线程,8MB,NULL,Kaby Lake,14nm,45W,16GB,DDR4 2400MHz,4xSO-DIMM,256GB+1TB,混合硬盘（SSD+HDD）,11065,发烧级独立显卡,NVIDIA GeForce GTX 1070,8GB,GDDR5,256bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,22.9mm,FHD，LED背光，IPS广视角液晶显示屏,Intel 1535 AC，支持802.11ac无线协议,内置双扬声器，重低音喇叭,2880x1620,2017年08月,272mm,NULL,NULL,家用,4×USB3.0，USB3.1 Type-C接口，Thunderbolt3,390mm,2.5Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 200W 自适应交流电源适配器,整机免费保修2年，电池保修1年,ESS Sabre Hi-Fi DAC音效芯片，AORUS Audio音效技术,无内置光驱,NULL,NULL,Killer网卡Wireless,Intel HM175,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,64GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,AORUS RGB Fusion单点全彩孤岛背光键盘,RJ45（网络接口），电源接口
技嘉X5 v7（16GB/1TB）,X5 v7系列,http://detail.zol.com.cn/notebook/index1180962.shtml,https://2b.zol-img.com.cn/product/185_80x60/837/cedvSsxM5TN9Y.jpg,1.7万,正常,10110,Intel 酷睿i7 7820HK,英特尔 酷睿i7 7代系列,2.9GHz,3.9GHz,四核心/八线程,8MB,NULL,Kaby Lake,14nm,45W,16GB,DDR4 2400MHz,4xSO-DIMM,1TB,HDD,11065,发烧级独立显卡,NVIDIA GeForce GTX 1070,8GB,GDDR5,256bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,22.9mm,FHD，LED背光，IPS广视角液晶显示屏,Intel 1535 AC，支持802.11ac无线协议,内置双扬声器，重低音喇叭,2880x1620,2017年08月,272mm,NULL,NULL,家用,4×USB3.0，USB3.1 Type-C接口，Thunderbolt3,390mm,2.5Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 200W 自适应交流电源适配器,整机免费保修2年，电池保修1年,ESS Sabre Hi-Fi DAC音效芯片，AORUS Audio音效技术,无内置光驱,NULL,NULL,Killer网卡Wireless,Intel HM175,NULL,游戏本，影音娱乐本,DOS,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,64GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,AORUS RGB Fusion单点全彩孤岛背光键盘,RJ45（网络接口），电源接口
技嘉X5 v7（16GB/256GB+1TB）,X5 v7系列,http://detail.zol.com.cn/notebook/index1180511.shtml,https://2d.zol-img.com.cn/product/185_80x60/281/ceh4hjYmw4PxM.jpg,1.9万,正常,10110,Intel 酷睿i7 7820HK,英特尔 酷睿i7 7代系列,2.9GHz,3.9GHz,四核心/八线程,8MB,NULL,Kaby Lake,14nm,45W,16GB,DDR4 2400MHz,4xSO-DIMM,256GB+1TB,混合硬盘（SSD+HDD）,11065,发烧级独立显卡,NVIDIA GeForce GTX 1070,8GB,GDDR5,256bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,22.9mm,FHD，LED背光，IPS广视角液晶显示屏,Intel 1535 AC，支持802.11ac无线协议,内置双扬声器，重低音喇叭,2880x1620,2017年08月,272mm,NULL,NULL,家用,4×USB3.0，USB3.1 Type-C接口，Thunderbolt3,390mm,2.5Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 200W 自适应交流电源适配器,整机免费保修2年，电池保修1年,ESS Sabre Hi-Fi DAC音效芯片，AORUS Audio音效技术,无内置光驱,NULL,NULL,Killer网卡Wireless,Intel HM175,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,64GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,AORUS RGB Fusion单点全彩孤岛背光键盘,RJ45（网络接口），电源接口
技嘉X5 v7（16GB/1TB）,X5 v7系列,http://detail.zol.com.cn/notebook/index1180962.shtml,https://2b.zol-img.com.cn/product/185_80x60/837/cedvSsxM5TN9Y.jpg,1.7万,正常,10110,Intel 酷睿i7 7820HK,英特尔 酷睿i7 7代系列,2.9GHz,3.9GHz,四核心/八线程,8MB,NULL,Kaby Lake,14nm,45W,16GB,DDR4 2400MHz,4xSO-DIMM,1TB,HDD,11065,发烧级独立显卡,NVIDIA GeForce GTX 1070,8GB,GDDR5,256bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,22.9mm,FHD，LED背光，IPS广视角液晶显示屏,Intel 1535 AC，支持802.11ac无线协议,内置双扬声器，重低音喇叭,2880x1620,2017年08月,272mm,NULL,NULL,家用,4×USB3.0，USB3.1 Type-C接口，Thunderbolt3,390mm,2.5Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 200W 自适应交流电源适配器,整机免费保修2年，电池保修1年,ESS Sabre Hi-Fi DAC音效芯片，AORUS Audio音效技术,无内置光驱,NULL,NULL,Killer网卡Wireless,Intel HM175,NULL,游戏本，影音娱乐本,DOS,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,64GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,AORUS RGB Fusion单点全彩孤岛背光键盘,RJ45（网络接口），电源接口
技嘉赢刃 AERO 14（i7 7700HQ/8GB/256GB/WIN10）,赢刃 AERO 14系列,http://detail.zol.com.cn/notebook/index1176577.shtml,https://2d.zol-img.com.cn/product/184_80x60/503/ceDQqldUGNkA6.jpg,1.2万,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,256GB,SSD固态硬盘,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 630,6GB,GDDR5,192bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,19.9mm,QHD，LED背光，IPS广视角雾面液晶显示屏,支持802.11b/g/n/ac无线协议,2×2W立体声音响,2560x1440,2017年02月,250mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,335mm,1.89Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,无内置光驱,NULL,NULL,NULL,Intel HM175,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色，橙色，绿色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.2模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,14英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,全尺寸背光键盘，独立宏键,USB转RJ45（网络接口），电源接口
技嘉赢刃 AERO 14（i7 6700HQ/8GB/256GB）,赢刃 AERO 14系列,http://detail.zol.com.cn/notebook/index1177547.shtml,https://2a.zol-img.com.cn/product/184_80x60/800/ceFafUUoAyFEI.jpg,7999,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,8GB（8GB×1）,DDR4 2133MHz,2xSO-DIMM,256GB,SSD固态硬盘,3067,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 965M＋Intel GMA HD 530,2GB,GDDR5,128bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,19.9mm,FHD，LED背光，IPS广视角雾面液晶显示屏,支持802.11b/g/n/ac无线协议,2×2W立体声音响,1920x1080,2016年,250mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,335mm,1.9Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 120W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,无内置光驱,NULL,NULL,NULL,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色，橙色，绿色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.2模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,14英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,全尺寸背光键盘，独立宏键,USB转RJ45（网络接口），电源接口
技嘉赢刃 AERO 14（i7 7700HQ/8GB/256GB/DOS）,赢刃 AERO 14系列,http://detail.zol.com.cn/notebook/index1180968.shtml,https://2d.zol-img.com.cn/product/185_80x60/103/cekyyXXzZo6eg.jpg,1.1万,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,256GB,SSD固态硬盘,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 630,6GB,GDDR5,192bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,19.9mm,QHD，LED背光，IPS广视角雾面液晶显示屏,支持802.11b/g/n/ac无线协议,2×2W立体声音响,2560x1440,2017年02月,250mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,335mm,1.89Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,无内置光驱,NULL,NULL,NULL,Intel HM175,NULL,游戏本，影音娱乐本,DOS,NULL,2年,黑色，橙色，绿色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.2模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,14英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,全尺寸背光键盘，独立宏键,USB转RJ45（网络接口），电源接口
技嘉赢刃 AERO 14（i7 7700HQ/16GB/512GB）,赢刃 AERO 14系列,http://detail.zol.com.cn/notebook/index1180966.shtml,https://2f.zol-img.com.cn/product/185_80x60/99/cedjRxlB9e9c.jpg,1.37万,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,2xSO-DIMM,512GB,SSD固态硬盘,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 630,6GB,GDDR5,192bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,19.9mm,QHD，LED背光，IPS广视角雾面液晶显示屏,支持802.11b/g/n/ac无线协议,2×2W立体声音响,2560x1440,2017年02月,250mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,335mm,1.89Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,无内置光驱,NULL,NULL,NULL,Intel HM175,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色，橙色，绿色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.2模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,14英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,全尺寸背光键盘，独立宏键,USB转RJ45（网络接口），电源接口
技嘉P55W v6（16GB/128GB+1TB）,P55W v6系列,http://detail.zol.com.cn/notebook/index1164712.shtml,https://2b.zol-img.com.cn/product/180_80x60/811/cehgb0hGDviU.jpg,1.1万,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,2xSO-DIMM,128GB+1TB,混合硬盘（SSD+7200转HDD）,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 530,6GB,GDDR5,192bit,复合材质,NULL,NULL,6芯锂电池，5400毫安,NULL,26.8-34mm,FHD，LED背光，IPS广视角液晶显示屏,支持802.11b/g/n/ac无线协议,2×1.5W立体声音响,1920x1080,2016年11月,269.38mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,379.71mm,2.4Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
技嘉P55W v6（16GB/256GB+1TB）,P55W v6系列,http://detail.zol.com.cn/notebook/index1164857.shtml,https://2b.zol-img.com.cn/product/180_80x60/99/ceMFCGmm4alrQ.jpg,1.1万,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,16GB（8GB×2）,DDR4 2400MHz,2xSO-DIMM,256GB+1TB,混合硬盘（SSD+7200转HDD）,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 530,6GB,GDDR5,192bit,复合材质,NULL,NULL,6芯锂电池，5400毫安,NULL,26.8-34mm,FHD，LED背光，IPS广视角液晶显示屏,支持802.11b/g/n/ac无线协议,2×1.5W立体声音响,1920x1080,2016年11月,269.38mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,379.71mm,2.4Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,内置DVD刻录机,NULL,NULL,1000Mbps以太网卡,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.1模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,15.6英寸,NULL,32GB,视具体使用环境而定,VGA，HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘,RJ45（网络接口），电源接口
技嘉赢刃 AERO 14（i7 7700HQ/8GB/256GB/WIN10）,赢刃 AERO 14系列,http://detail.zol.com.cn/notebook/index1176577.shtml,https://2d.zol-img.com.cn/product/184_80x60/503/ceDQqldUGNkA6.jpg,1.2万,正常,8896,Intel 酷睿i7 7700HQ,英特尔 酷睿i7 7代系列,2.8GHz,3.8GHz,四核心/八线程,6MB,DMI 8 GT/s,Kaby Lake,14nm,45W,8GB（8GB×1）,DDR4 2400MHz,2xSO-DIMM,256GB,SSD固态硬盘,8851,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 1060＋Intel GMA HD 630,6GB,GDDR5,192bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,19.9mm,QHD，LED背光，IPS广视角雾面液晶显示屏,支持802.11b/g/n/ac无线协议,2×2W立体声音响,2560x1440,2017年02月,250mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,335mm,1.89Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 150W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,无内置光驱,NULL,NULL,NULL,Intel HM175,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色，橙色，绿色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.2模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,14英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,全尺寸背光键盘，独立宏键,USB转RJ45（网络接口），电源接口
技嘉赢刃 AERO 14（i7 6700HQ/8GB/256GB）,赢刃 AERO 14系列,http://detail.zol.com.cn/notebook/index1177547.shtml,https://2a.zol-img.com.cn/product/184_80x60/800/ceFafUUoAyFEI.jpg,7999,正常,8146,Intel 酷睿i7 6700HQ,英特尔 酷睿i7 6代系列,2.6GHz,3.5GHz,四核心/八线程,6MB,DMI 8 GT/s,Skylake,14nm,45W,8GB（8GB×1）,DDR4 2133MHz,2xSO-DIMM,256GB,SSD固态硬盘,3067,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce GTX 965M＋Intel GMA HD 530,2GB,GDDR5,128bit,复合材质,NULL,NULL,锂电池，94.24瓦时,NULL,19.9mm,FHD，LED背光，IPS广视角雾面液晶显示屏,支持802.11b/g/n/ac无线协议,2×2W立体声音响,1920x1080,2016年,250mm,NULL,NULL,家用,3×USB3.0，USB3.1 Type-C接口,335mm,1.9Kg,安全锁孔,800-820-0926;0755-2399-0185,周一至周五 上午9:00-12:00 ， 下午13:00-18:00 法定节假日除外,NULL,100V-240V 120W 自适应交流电源适配器,整机免费保修2年，电池保修1年,杜比Digital Plus家庭影院音效技术,无内置光驱,NULL,NULL,NULL,Intel HM170,NULL,游戏本，影音娱乐本,预装Windows 10,NULL,2年,黑色，橙色，绿色,NULL,NULL,触摸板,全国联保，享受三包服务,笔记本主机 x1电池 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器,16:9,耳机输出接口，麦克风输入接口,NULL,支持，蓝牙4.2模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,HD视讯镜头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。技嘉笔记本主要整机保修2年，电池保修1年。进入官网>>,14英寸,NULL,32GB,视具体使用环境而定,HDMI，Mini DisplayPort,NULL,NULL,NULL,不支持触控,NULL,全尺寸背光键盘，独立宏键,USB转RJ45（网络接口），电源接口
